model_id,original_status,http_status,original_error,primary_failure_reason,capabilities,api_mode,is_batch,is_image_generation,is_video_generation,current_test_endpoint,expected_endpoint,real_failure,recommend_hide,recommend_retest,notes
ai21/jamba-large-1.7,FAILED,410,"Provider returned error ({""raw"":""{\""detail\"":\""This API has been retired. The AI21 Gateway is available at https://***.com — see https://***.com/***",UPSTREAM_ERROR,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Provider/upstream returned an error under the tested SDKMAX route.
aion-labs/aion-1.0,FAILED,404,No endpoints found for aion-labs/aion-1.0.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
aion-labs/aion-1.0-mini,FAILED,404,No endpoints found for aion-labs/aion-1.0-mini.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
allenai/olmo-3-32b-think,FAILED,404,No endpoints found for allenai/olmo-3-32b-think.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
anthropic/claude-fable-5:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-haiku-4.5:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-opus-4.1:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-opus-4.5:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-opus-4.6:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-opus-4.7-fast,FAILED,400,"Provider returned error ({""raw"":""{\""type\"":\""error\"",\""error\"":{\""type\"":\""invalid_request_error\"",\""message\"":\""'claude-opus-4-7' does not support the `speed` parameter. This feature is only available on supported models.\""},\""request_id\"":\""req_011CdviP2W4AzFvxLaUPCdaw\""}"",""provider_name"":""Anthropic"",""is_byok"":false})",WRONG_PAYLOAD,text|vision,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,false,true,true,"Failure is caused by test payload/parameter choice, not proven model unavailability."
anthropic/claude-opus-4.7:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-opus-4.8:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-opus-5:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-sonnet-4.5:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-sonnet-4.6:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
anthropic/claude-sonnet-5:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
arcee-ai/coder-large,FAILED,404,No endpoints found for arcee-ai/coder-large.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
arcee-ai/trinity-large-thinking,FAILED,400,arcee-ai/trinity-large is not a valid model ID,MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
arcee-ai/trinity-mini,FAILED,404,No endpoints found for arcee-ai/trinity-mini.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
arcee-ai/virtuoso-large,FAILED,400,"Provider returned error ({""raw"":""{\n  \""id\"": \""ovkbCV4-2kFHot-a2962a95ef220d98\"",\n  \""error\"": {\n    \""message\"": \""Unable to access non-serverless model arcee-ai/virtuoso-large. Please visit https://***.ai/***/***/*** to create and start a new dedicated endpoint for the model.\"",\n    \""type\"": \""invalid_request_error\"",\n    \""param\"": null,\n    \""code\"": \""model_not_available\""\n  }\n}"",""provider_name"":""Together"",""is_byok"":false,""provider_error_code"":""model_not_available""})",NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,FAILED,404,This model is unavailable for free. The paid version is available now - use this slug instead: cognitivecomputations/dolphin-mistral-24b-venice-edition,MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
google/gemini-2.5-flash-lite-preview-09-2025,FAILED,404,No endpoints found for google/gemini-2.5-flash-lite-preview-09-2025.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
google/gemini-2.5-flash-lite:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-2.5-flash:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-2.5-pro:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-3-flash-preview:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-3.1-flash-lite:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-3.1-pro-preview:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-3.5-flash-lite:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-3.5-flash:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/gemini-3.6-flash:batch,FAILED,404,This model is only available through the Batch API. Use the /api/beta/batches endpoint instead.,BATCH_API_REQUIRED,text|vision|audio|batch,batch,true,false,false,/v1/chat/completions,/api/beta/batches,false,true,true,Batch-only model tested through chat completions; exclude from normal realtime failure rate.
google/lyria-3-clip-preview,FAILED,502,"Provider returned error ({""raw"":""{\n  \""error\"": {\n    \""code\"": 500,\n    \""message\"": \""Internal error encountered.\"",\n    \""status\"": \""INTERNAL\""\n  }\n}\n"",""provider_name"":""Google AI Studio"",""is_byok"":false,""provider_error_code"":""500""})",WRONG_ENDPOINT,text|vision|audio,realtime_audio_or_special,false,false,false,/v1/chat/completions,Audio-capable endpoint/payload,false,true,true,Audio-output model was probed with text-only chat payload.
google/lyria-3-pro-preview,FAILED,502,"Provider returned error ({""raw"":""{\n  \""error\"": {\n    \""code\"": 500,\n    \""message\"": \""Internal error encountered.\"",\n    \""status\"": \""INTERNAL\""\n  }\n}\n"",""provider_name"":""Google AI Studio"",""is_byok"":false,""provider_error_code"":""500""})",WRONG_ENDPOINT,text|vision|audio,realtime_audio_or_special,false,false,false,/v1/chat/completions,Audio-capable endpoint/payload,false,true,true,Audio-output model was probed with text-only chat payload.
inclusionai/ling-3.0-flash:free,FAILED,404,This model is unavailable for free. The paid version is available now - use this slug instead: inclusionai/ling-3.0-flash,MODEL_NOT_FOUND,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,Requested slug is invalid/deprecated for the current route.
inclusionai/ling-3.0-tiny:free,FAILED,429,"Provider returned error ({""raw"":""inclusionai/ling-3.0-tiny:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://***.ai/***/*** shortly, add your own provider key (https://***.ai/***/*** or route to another provider with provider routing: https://***.ai/***/***/***",RATE_LIMITED,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,false,true,true,Temporary upstream or free-tier rate limit; retest later or with provider key.
inflection/inflection-3-pi,FAILED,404,No endpoints found for inflection/inflection-3-pi.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
inflection/inflection-3-productivity,FAILED,404,No endpoints found for inflection/inflection-3-productivity.,NO_PROVIDER,text,realtime,false,false,false,/v1/chat/completions,/v1/chat/completions with model-compatible payload,true,true,false,OpenRouter did not expose a usable serverless endpoint for this model at test time.
